event_name,event_lat,event_lon,stop_id,stop_name,stop_lat,stop_lon,distance
Because I’m Worth It,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.00921383106096789
Annie the Musical,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.00921383106096789
The Hunt Dinner Party,53.44457670000001,-6.1655167,8240DB003583,Saint Sylvester's School,53.449348,-6.163163,0.005320263844949957
The Things That Matter Most Are The Things That Can't Be Seen,54.0045323,-6.400592899999999,8300PB14077,Dundalk Roden Place,54.004474,-6.39903,0.0015639869884357068
The Bee Gees Story: Nights on Broadway,52.838161,-6.9278619,8210000199,Carlow College,52.838603,-6.927199,0.000796743628778846
Croílár Festival,53.4239226,-7.940277499999999,8330B455701,Northgate Street,53.42466,-7.94042,0.0007510426153078266
Celbridge St. Patrick's Day Festival 2026,53.3387702,-6.5394381,8260DB003929,Celbridge Main St,53.3389827093247,-6.53910489794851,0.00039520098709808194
Trace Your Irish Roots,53.3486898,-6.2482004,8220GA00427,George's Dock,53.34942861,-6.247569832,0.0009713167447932057
The Collector,54.0045323,-6.400592899999999,8300PB14077,Dundalk Roden Place,54.004474,-6.39903,0.0015639869884357068
Dancing at Lughnasa,54.0045323,-6.400592899999999,8300PB14077,Dundalk Roden Place,54.004474,-6.39903,0.0015639869884357068
Amid The Clouds,54.0045323,-6.400592899999999,8300PB14077,Dundalk Roden Place,54.004474,-6.39903,0.0015639869884357068
Dundalk Musical Society Gala,54.0045323,-6.400592899999999,8300PB14077,Dundalk Roden Place,54.004474,-6.39903,0.0015639869884357068
The Witch Who Couldn't Sleep,54.0045323,-6.400592899999999,8300PB14077,Dundalk Roden Place,54.004474,-6.39903,0.0015639869884357068
Saipan,54.0045323,-6.400592899999999,8300PB14077,Dundalk Roden Place,54.004474,-6.39903,0.0015639869884357068
"Mack Fleetwood, Europe’s Ultimate Tribute to Fleetwood Mac",52.3380334,-6.4621603,834000055,Custom House Quay,52.339415,-6.460298,0.0023188315699949865
A Night At The Opry,52.838161,-6.9278619,8210000199,Carlow College,52.838603,-6.927199,0.000796743628778846
"A Night At The Opry with Claudia Buckley, Johnny Brady & John Hogan",52.2666168,-9.7083368,8390B635851,Tralee Prince's Street,52.266953,-9.709685,0.0013894868405283879
A Wicked Easter,53.44457670000001,-6.1655167,8240DB003583,Saint Sylvester's School,53.449348,-6.163163,0.005320263844949957
ABAIR: Breanndán Ó Beaglaoich / Seamas Hyland,53.3346479,-6.2587823,8220DB001013,Earlsfort Terrace,53.334181,-6.258346,0.000639025273364818
ABAIR: Franke Archer / Ruth Clinton / Amy Bluemel,53.3450078,-6.269166299999999,8220DB001443,Wood Quay,53.345129,-6.26954,0.00039286273684479255
ABAIR: Little John Nee / Hugh Cooney,53.3507553,-6.2565686,8220DB000621,Talbot Street West,53.350518,-6.256268,0.0003829773492002755
ABAIR: Storytelling at The Peacock Bar,53.3483986,-6.257178199999999,8220DB000297,Eden Quay,53.3481432679358,-6.25677012601713,0.0004813718297814636
