stop_id,reachable_15min,reachable_30min,reachable_45min,stop_lat,stop_lon,reachable_15min_norm,reachable_30min_norm,reachable_45min_norm,cluster
8220B007612,47,525,1669,53.341460253444,-6.25029956027018,0.2292682926829268,0.3590971272229822,0.4686885706262286,0
8220B007612,47,525,1669,53.341460253444,-6.25029956027018,0.2292682926829268,0.3590971272229822,0.4686885706262286,0
8220B008367,113,583,1632,53.372326,-6.299488,0.551219512195122,0.3987688098495212,0.4582982308340353,0
8220B008367,113,583,1632,53.372326,-6.299488,0.551219512195122,0.3987688098495212,0.4582982308340353,0
8220B1000401,60,803,2799,53.341434,-6.251562,0.2926829268292683,0.5492476060191519,0.7860151642796968,2
8220B1000401,60,803,2799,53.341434,-6.251562,0.2926829268292683,0.5492476060191519,0.7860151642796968,2
8220B100111,30,444,1899,53.343163,-6.249959,0.1463414634146341,0.3036935704514364,0.5332771693344566,0
8220B100111,30,444,1899,53.343163,-6.249959,0.1463414634146341,0.3036935704514364,0.5332771693344566,0
8220B100461,12,242,1835,53.3283555138789,-6.22837542799152,0.0585365853658536,0.1655266757865937,0.5153046896939062,3
8220B100461,12,242,1835,53.3283555138789,-6.22837542799152,0.0585365853658536,0.1655266757865937,0.5153046896939062,3
8220B1009001,29,249,876,53.4001982314926,-6.30834665852557,0.1414634146341463,0.1703146374829001,0.2459983150800337,3
8220B1009001,29,249,876,53.4001982314926,-6.30834665852557,0.1414634146341463,0.1703146374829001,0.2459983150800337,3
8220B1011301,77,579,1973,53.40014650036,-6.30786746825518,0.375609756097561,0.3960328317373461,0.554057848918843,0
8220B1011301,77,579,1973,53.40014650036,-6.30786746825518,0.375609756097561,0.3960328317373461,0.554057848918843,0
8220B1011501,34,436,2182,53.369942933041,-6.27806175078419,0.1658536585365853,0.2982216142270862,0.6127492277450154,0
8220B1011501,34,436,2182,53.369942933041,-6.27806175078419,0.1658536585365853,0.2982216142270862,0.6127492277450154,0
8220B1021101,61,807,2577,53.346833,-6.262471,0.2975609756097561,0.551983584131327,0.7236731255265375,2
8220B1021101,61,807,2577,53.346833,-6.262471,0.2975609756097561,0.551983584131327,0.7236731255265375,2
8220B1046101,0,1,6,53.3385331896343,-6.25480444135106,0.0,0.0006839945280437,0.0016849199663016,1
8220B1046101,0,1,6,53.3385331896343,-6.25480444135106,0.0,0.0006839945280437,0.0016849199663016,1
8220B106421,1,107,607,53.346899,-6.229431,0.0048780487804878,0.073187414500684,0.1704577365908452,1
8220B106421,1,107,607,53.346899,-6.229431,0.0048780487804878,0.073187414500684,0.1704577365908452,1
8220B10995,21,287,903,53.34587,-6.29366,0.1024390243902439,0.1963064295485636,0.2535804549283909,3
8220B10995,21,287,903,53.34587,-6.29366,0.1024390243902439,0.1963064295485636,0.2535804549283909,3
8220B111761,97,785,2658,53.342626,-6.250132,0.473170731707317,0.5369357045143639,0.7464195450716091,2
8220B111761,97,785,2658,53.342626,-6.250132,0.473170731707317,0.5369357045143639,0.7464195450716091,2
8220B111771,38,415,1936,53.349115,-6.255619,0.1853658536585365,0.2838577291381668,0.5436675091266499,0
8220B111771,38,415,1936,53.349115,-6.255619,0.1853658536585365,0.2838577291381668,0.5436675091266499,0
8220B134961,116,1421,3442,53.349913,-6.252387,0.5658536585365853,0.9719562243502052,0.9665824206683516,2
8220B134961,116,1421,3442,53.349913,-6.252387,0.5658536585365853,0.9719562243502052,0.9665824206683516,2
8220B135001,43,675,2701,53.34981,-6.25203,0.2097560975609756,0.4616963064295485,0.7584948048301039,2
8220B135001,43,675,2701,53.34981,-6.25203,0.2097560975609756,0.4616963064295485,0.7584948048301039,2
8220B1350201,0,3,62,53.386888884633,-6.25663057318752,0.0,0.0020519835841313,0.0174108396517832,1
8220B1350201,0,3,62,53.386888884633,-6.25663057318752,0.0,0.0020519835841313,0.0174108396517832,1
8220B1350301,17,360,1420,53.3487549295197,-6.25495768638166,0.0829268292682926,0.2462380300957592,0.3987643920247121,3
8220B1350301,17,360,1420,53.3487549295197,-6.25495768638166,0.0829268292682926,0.2462380300957592,0.3987643920247121,3
8220B1351001,68,751,2373,53.3458641751298,-6.26381729294171,0.3317073170731707,0.5136798905608755,0.6663858466722831,2
8220B1351001,68,751,2373,53.3458641751298,-6.26381729294171,0.3317073170731707,0.5136798905608755,0.6663858466722831,2
8220B1351101,6,339,1828,53.347392,-6.252129,0.0292682926829268,0.2318741450068399,0.513338949733221,0
8220B1351101,6,339,1828,53.347392,-6.252129,0.0292682926829268,0.2318741450068399,0.513338949733221,0
8220B1351201,132,1204,3374,53.3502180212919,-6.25052670165242,0.6439024390243903,0.8235294117647058,0.9474866610502668,2
8220B1351201,132,1204,3374,53.3502180212919,-6.25052670165242,0.6439024390243903,0.8235294117647058,0.9474866610502668,2
8220B1351401,186,1462,3561,53.34737,-6.25346,0.9073170731707316,1.0,1.0,2
