stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,operator
8220DB000080,80,Phibsborough Church,,53.360863,-6.276054,,,,,dublin_bus
8220DB000081,81,Phibsborough,,53.360876,-6.271967,,,,,dublin_bus
8220DB000082,82,Doyle's Corner,,53.360798,-6.271549,,,,,dublin_bus
8220DB000083,83,The Mater Hospital,,53.36029,-6.26529,,,,,dublin_bus
8220DB000084,84,Synnott Row,,53.360163,-6.263702,,,,,dublin_bus
8220DB000085,85,Home Farm Road East,,53.373958,-6.251913,,,,,dublin_bus
8220DB000086,86,Home Farm FC,,53.3760502204589,-6.25116639066169,,,,,dublin_bus
8220DB000087,87,Clare Road,,53.3767517255719,-6.2548802899246,,,,,dublin_bus
8220DB000088,88,Walnut Rise,,53.3772872552991,-6.2576992286456,,,,,dublin_bus
8220DB000090,90,Albert College Court,,53.3863855316738,-6.26526567275522,,,,,dublin_bus
8220DB000091,91,Ballymun Road NS,,53.3884278896483,-6.26540814207682,,,,,dublin_bus
8220DB000092,92,Ballymun Library,,53.389837,-6.264674,,,,,dublin_bus
8220DB000093,93,Gateway Avenue,,53.392302,-6.264153,,,,,dublin_bus
8220DB000094,94,Civic Centre,,53.3960347624115,-6.26437695995448,,,,,dublin_bus
8220DB000102,102,Balbutcher Lane,,53.397773070166,-6.26771985697013,,,,,dublin_bus
8220DB000104,104,Poppintree Parade,,53.399771,-6.276819,,,,,dublin_bus
8220DB000105,105,Belclare Park,,53.4029363966818,-6.28169269646949,,,,,dublin_bus
8220DB000107,107,Crannogue Road,,53.4023798987989,-6.28049690990612,,,,,dublin_bus
8220DB000110,110,Ard na Meala,,53.3979386409613,-6.26860038147331,,,,,dublin_bus
8220DB000112,112,Civic Centre,,53.3961544015462,-6.2639510403018,,,,,dublin_bus
8220DB000113,113,Trinity Comp School,,53.3922679629262,-6.26370325464247,,,,,dublin_bus
8220DB000114,114,Ballymun Road,,53.3913333220544,-6.26371122925237,,,,,dublin_bus
8220DB000115,115,Ballymun Road Church,,53.3879640919871,-6.26503610048148,,,,,dublin_bus
8220DB000116,116,Griffith Lawns,,53.377693,-6.259667,,,,,dublin_bus
8220DB000117,117,Walnut Rise,,53.377366,-6.257546,,,,,dublin_bus
8220DB000118,118,Clare Road,,53.376643,-6.253592,,,,,dublin_bus
8220DB000119,119,Whitehall Village,,53.375191,-6.250766,,,,,dublin_bus
8220DB000126,126,Nursing Home,,53.399096,-6.264087,,,,,dublin_bus
8220DB000127,127,Nursing Home,,53.3991075304805,-6.26368042823971,,,,,dublin_bus
8220DB000128,128,Glasnevin Avenue,,53.389268,-6.26569,,,,,dublin_bus
8220DB000129,129,Glasnevin Drive,,53.38989,-6.271423,,,,,dublin_bus
8220DB000130,130,Glasnevin Park,,53.390092,-6.274181,,,,,dublin_bus
8220DB000131,131,Willow Park Road,,53.390386,-6.278349,,,,,dublin_bus
8220DB000132,132,Beneavin Park,,53.3905207424932,-6.2827191236982,,,,,dublin_bus
8220DB000134,134,Grove Road,,53.393095,-6.286074,,,,,dublin_bus
8220DB000136,136,McKee Road North,,53.3943802013894,-6.28985659650009,,,,,dublin_bus
8220DB000137,137,McKee Road,,53.3923167196303,-6.29263079481432,,,,,dublin_bus
8220DB000138,138,St Canice's BNS,,53.3899950092672,-6.29180657264741,,,,,dublin_bus
8220DB000139,139,Grove Park Road,,53.390602,-6.28646,,,,,dublin_bus
8220DB000140,140,Beneavin Park,,53.3906344923641,-6.28250404674216,,,,,dublin_bus
8220DB000141,141,Willow Park Road,,53.3904450850916,-6.27809124468715,,,,,dublin_bus
8220DB000142,142,Glasnevin Park,,53.3901982852621,-6.27407172195534,,,,,dublin_bus
8220DB000143,143,Willow Park Avenue,,53.389876708405,-6.2692433699802,,,,,dublin_bus
8220DB000146,146,Na Fianna GAA Club,,53.3750401276319,-6.26509558567468,,,,,dublin_bus
8220DB000147,147,Tolka Bridge,,53.37248,-6.265831,,,,,dublin_bus
8220DB000148,148,Mobhi Road,,53.3706701663468,-6.26806850705825,,,,,dublin_bus
8220DB000149,149,Tolka Bridge,,53.373139,-6.265985,,,,,dublin_bus
8220DB000150,150,Na Fianna GAA Club,,53.3756588461862,-6.26499528302822,,,,,dublin_bus
8220DB000151,151,Botanic Gardens,,53.3719552600192,-6.26929382771155,,,,,dublin_bus
8220DB000153,153,Met Éireann,,53.375689,-6.270134,,,,,dublin_bus
8220DB000154,154,Cremore Avenue,,53.377259,-6.275557,,,,,dublin_bus
8220DB000155,155,Old Finglas Road,,53.37792,-6.27951,,,,,dublin_bus
8220DB000156,156,Northland Grove,,53.378623,-6.281665,,,,,dublin_bus
8220DB000157,157,Tolka Estate,,53.380412,-6.281638,,,,,dublin_bus
8220DB000158,158,Griffith Road,,53.381482,-6.283564,,,,,dublin_bus
8220DB000159,159,Griffith Parade,,53.3827837191573,-6.28283511246108,,,,,dublin_bus
8220DB000163,163,Ferndale Avenue,,53.387151,-6.279637,,,,,dublin_bus
8220DB000170,170,Ferndale Avenue,,53.386966,-6.279269,,,,,dublin_bus
8220DB000173,173,Glasnamana Place,,53.382122,-6.280547,,,,,dublin_bus
8220DB000174,174,Tolka Estate,,53.3806803549474,-6.28095056210771,,,,,dublin_bus
8220DB000175,175,Northland Grove,,53.378424,-6.281568,,,,,dublin_bus
8220DB000176,176,Old Finglas Road,,53.378032,-6.279299,,,,,dublin_bus
8220DB000177,177,Glasilawn Road,,53.380468,-6.276224,,,,,dublin_bus
8220DB000178,178,Ballygall Road East,,53.38189,-6.276347,,,,,dublin_bus
8220DB000179,179,Glasilawn Road,,53.380303,-6.276005,,,,,dublin_bus
8220DB000180,180,Cremore Crescent,,53.37844,-6.276396,,,,,dublin_bus
8220DB000181,181,Cremore Avenue,,53.37715,-6.274224,,,,,dublin_bus
8220DB000182,182,Met Éireann,,53.375657,-6.269805,,,,,dublin_bus
8220DB000183,183,Botanic Gardens,,53.372316,-6.268753,,,,,dublin_bus
8220DB000184,184,Fairfield Road,,53.369704,-6.268979,,,,,dublin_bus
8220DB000185,185,Wayfinding Centre,,53.368101,-6.270021,,,,,dublin_bus
8220DB000186,186,Hart's Corner,,53.365355,-6.27159,,,,,dublin_bus
8220DB000187,187,Munster Street,,53.362734,-6.272447,,,,,dublin_bus
8220DB000188,188,Doyle's Corner,,53.360121,-6.272583,,,,,dublin_bus
8220DB000189,189,Phibsborough Road,,53.357167,-6.273469,,,,,dublin_bus
8220DB000190,190,Broadstone,,53.3551257304144,-6.27337107400574,,,,,dublin_bus
8220DB000191,191,Western Way,,53.3550179485755,-6.26903378050291,,,,,dublin_bus
8220DB000192,192,Mountjoy Street,,53.356397,-6.268077,,,,,dublin_bus
8220DB000193,193,Clune Road,,53.3911963059787,-6.29410403487394,,,,,dublin_bus
8220DB000194,194,Western Way,,53.3550406495518,-6.26997931103774,,,,,dublin_bus
8220DB000195,195,Broadstone,,53.3550117778767,-6.27357097973096,,,,,dublin_bus
8220DB000196,196,Phibsborough Road,,53.356884,-6.273751,,,,,dublin_bus
8220DB000197,197,Monck Place,,53.358953,-6.273231,,,,,dublin_bus
8220DB000198,198,Doyle's Corner,,53.361625,-6.272838,,,,,dublin_bus
8220DB000199,199,Munster Street,,53.363622,-6.272291,,,,,dublin_bus
8220DB000200,200,Prospect Way,,53.367423,-6.271596,,,,,dublin_bus
8220DB000201,201,Wayfinding Centre,,53.368291,-6.270119,,,,,dublin_bus
8220DB000202,202,Fairfield Road,,53.37008,-6.268904,,,,,dublin_bus
8220DB000203,203,Whitehall Village,,53.376393,-6.25001,,,,,dublin_bus
8220DB000204,204,Plunket College,,53.379588,-6.246662,,,,,dublin_bus
8220DB000205,205,Iveragh Road,,53.381375,-6.245326,,,,,dublin_bus
8220DB000206,206,Larkhill Road,,53.383546,-6.247477,,,,,dublin_bus
8220DB000207,207,Larkhill Road,,53.384822,-6.249875,,,,,dublin_bus
8220DB000208,208,Glendun Road,,53.3866539303158,-6.24795040815756,,,,,dublin_bus
8220DB000209,209,Larkhill Road,,53.387271,-6.24591,,,,,dublin_bus
8220DB000210,210,Crestfield Road,,53.387594,-6.248318,,,,,dublin_bus
8220DB000211,211,Falcarragh Road,,53.384281,-6.24916,,,,,dublin_bus
8220DB000212,212,Larkhill Road,,53.383196,-6.246258,,,,,dublin_bus
